"286c1719879e0b5d1b0d665d4bdfdf835e0f7b40,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"1df39c1efc9ed26d3f1a5887c31c38c873e0b784,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/monitor/capacity/TestProportionalCapacityPreemptionPolicy.java,TestProportionalCapacityPreemptionPolicy.java,0,45982.83894048179,63,2,0,26,1,1,51,31,2,6,126,96,1193,556,0,40983.158752306714,60,2,0,26,1,1,42,29,1,2,111,78,1050,294,Extract Method,Extract Method	private setResourceAndNodeDetails() : void extracted from package buildPolicy(qData int[][]) : ProportionalCapacityPreemptionPolicy in class org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.TestProportionalCapacityPreemptionPolicy"
"c36090fd3f5887a5d0c67749a6645cdb4d95ae9e,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/monitor/capacity/TestProportionalCapacityPreemptionPolicy.java,TestProportionalCapacityPreemptionPolicy.java,0,45982.83894048179,63,2,0,26,1,1,51,31,2,6,126,96,1193,556,0,40983.158752306714,60,2,0,26,1,1,42,29,1,2,111,78,1050,294,Extract Method,Extract Method	private setResourceAndNodeDetails() : void extracted from package buildPolicy(qData int[][]) : ProportionalCapacityPreemptionPolicy in class org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.TestProportionalCapacityPreemptionPolicy"
"4bc87cd2dbf5b9a850d79a51891dc061e1201bf9,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/monitor/capacity/TestProportionalCapacityPreemptionPolicy.java,TestProportionalCapacityPreemptionPolicy.java,0,45982.83894048179,63,2,0,26,1,1,51,31,2,6,126,96,1193,556,0,40983.158752306714,60,2,0,26,1,1,42,29,1,2,111,78,1050,294,Extract Method,Extract Method	private setResourceAndNodeDetails() : void extracted from package buildPolicy(qData int[][]) : ProportionalCapacityPreemptionPolicy in class org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.TestProportionalCapacityPreemptionPolicy"
"1d74ccececaefffaa90c0c18b40a3645dbc819d9,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDistributedFileSystem.java,TestDistributedFileSystem.java,0,38099.027502550794,39,2,0,3,0,1,22,19,0,32,143,88,958,345,0,36787.66692074008,41,2,0,3,0,1,23,19,0,32,167,109,1056,345,Rename Method,Rename Method	public testDFSClientPeerTimeout() : void renamed to public testDFSClientPeerReadTimeout() : void in class org.apache.hadoop.hdfs.TestDistributedFileSystem"
"471037883fb2ae297a76e8e551569236d3918a41,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDistributedFileSystem.java,TestDistributedFileSystem.java,0,34287.19793718425,39,2,0,3,0,1,22,19,0,32,143,88,958,345,0,32993.03275427245,39,2,0,3,0,1,21,18,0,32,142,85,928,319,Rename Method,Rename Method	public testDFSClientPeerTimeout() : void renamed to public testDFSClientPeerReadTimeout() : void in class org.apache.hadoop.hdfs.TestDistributedFileSystem"
"b67f74b41885e10020e14579ee9b9afe8158f742,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDistributedFileSystem.java,TestDistributedFileSystem.java,0,38099.027502550794,39,2,0,3,0,1,22,19,0,32,143,88,958,345,0,36787.66692074008,41,2,0,3,0,1,23,19,0,32,167,109,1056,345,Rename Method,Rename Method	public testDFSClientPeerTimeout() : void renamed to public testDFSClientPeerReadTimeout() : void in class org.apache.hadoop.hdfs.TestDistributedFileSystem"
"95b499a3671daae9018ae005c9384fb65aa37320,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/balancer/TestBalancer.java,TestBalancer.java,0,48732.62685549596,37,3,0,21,0,13,68,33,11,60,155,173,1360,1482,0,48476.28737949134,38,3,0,27,0,16,69,33,12,62,154,176,1372,1540,Extract Method,Extract Method	private doTestBalancerWithStripedFile(conf Configuration) : void extracted from public testBalancerWithStripedFile() : void in class org.apache.hadoop.hdfs.server.balancer.TestBalancer"
"971497ae1e7d525b4f326c9b316d8ff9185c4795,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestFSImage.java,TestFSImage.java,16,13251.259737962717,16,1,0,1,0,1,7,6,0,5,68,19,255,21,8,13352.617346429379,27,1,0,1,0,1,11,9,0,5,106,37,440,55,Rename Method,Rename Method	private testSaveAndLoadINodeFile(fsn FSNamesystem, conf Configuration, isUC boolean) : void renamed to private testSaveAndLoadStripedINodeFile(fsn FSNamesystem, conf Configuration, isUC boolean) : void in class org.apache.hadoop.hdfs.server.namenode.TestFSImage"
"95c99c1236eb1bb67b76cc226657a25ad567f51d,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/balancer/TestBalancer.java,TestBalancer.java,0,51078.69755175019,37,3,0,21,0,13,68,33,11,60,155,173,1360,1482,0,50820.886193915314,39,3,0,27,0,16,70,34,12,62,158,177,1437,1577,Extract Method,Extract Method	private doTestBalancerWithStripedFile(conf Configuration) : void extracted from public testBalancerWithStripedFile() : void in class org.apache.hadoop.hdfs.server.balancer.TestBalancer"
"0bc15cb6e60dc60885234e01dec1c7cb4557a926,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/TestDistCpSync.java,TestDistCpSync.java,11,20702.58995365482,27,1,0,8,0,0,15,7,0,5,59,24,353,0,13,11643.726264827326,27,1,0,8,0,0,15,7,0,5,59,24,353,0,Extract Method,Extract Method	private enableAndCreateFirstSnapshot() : void extracted from public testSync() : void in class org.apache.hadoop.tools.TestDistCpSync"
"b085c5ef6f0d996afa1842fd984714ff67c6f1d6,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/TestDistCpSync.java,TestDistCpSync.java,11,20702.58995365482,27,1,0,8,0,0,15,7,0,5,59,24,353,0,13,11643.726264827326,27,1,0,8,0,0,15,7,0,5,59,24,353,0,Extract Method,Extract Method	private enableAndCreateFirstSnapshot() : void extracted from public testSync() : void in class org.apache.hadoop.tools.TestDistCpSync"
"37e1c3d82a96d781e1c9982988b7de4aa5242d0c,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,72693.65255147337,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,0,55655.825597339885,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,Extract Method,Extract Method	private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], minNumOfContainers int, maxNumOfContainers int, logFiles String[], numOfLogsPerContainer int, multiLogs boolean) : LogFileStatusInLastCycle extracted from private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], logFiles String[], numOfContainerLogs int, multiLogs boolean) : LogFileStatusInLastCycle in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"205b98c059dd1c6f8375a75da7410e26191c4d0b,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,72693.65255147337,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,0,55655.825597339885,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,Extract Method,Extract Method	private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], minNumOfContainers int, maxNumOfContainers int, logFiles String[], numOfLogsPerContainer int, multiLogs boolean) : LogFileStatusInLastCycle extracted from private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], logFiles String[], numOfContainerLogs int, multiLogs boolean) : LogFileStatusInLastCycle in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"342504f790e1ae221db82ddaca56164fc8ad0da6,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/net/unix/TestDomainSocketWatcher.java,TestDomainSocketWatcher.java,18,3596.3228011108554,9,1,0,2,0,1,9,8,0,0,29,36,262,139,27,2672.8680845556073,7,1,0,1,0,1,5,5,0,0,22,17,139,34,Extract Method,Extract Method	private newDomainSocketWatcher(interruptCheckPeriodMs int) : DomainSocketWatcher extracted from public testCreateShutdown() : void in class org.apache.hadoop.net.unix.TestDomainSocketWatcher"
"ab56fcdb1219d03713b408dd3a95d7405635254d,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/TestDistCpSync.java,TestDistCpSync.java,11,20702.58995365482,27,1,0,8,0,0,15,7,0,5,59,24,353,0,13,11643.726264827326,27,1,0,8,0,0,15,7,0,5,59,24,353,0,Extract Method,Extract Method	private enableAndCreateFirstSnapshot() : void extracted from public testSync() : void in class org.apache.hadoop.tools.TestDistCpSync"
"ab56fcdb1219d03713b408dd3a95d7405635254d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,72693.65255147337,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,0,55655.825597339885,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,Extract Method,Extract Method	private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], minNumOfContainers int, maxNumOfContainers int, logFiles String[], numOfLogsPerContainer int, multiLogs boolean) : LogFileStatusInLastCycle extracted from private verifyContainerLogs(logAggregationService LogAggregationService, appId ApplicationId, expectedContainerIds ContainerId[], logFiles String[], numOfContainerLogs int, multiLogs boolean) : LogFileStatusInLastCycle in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"7ffdf7d105fd2ce7a484cb96a96f414670bec141,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/webapp/TestAHSWebApp.java,TestAHSWebApp.java,25,3384.656722229273,23,3,0,0,0,0,11,9,0,0,22,14,170,55,26,3312.742233724139,21,3,0,0,0,0,10,8,0,0,22,13,156,45,Rename Method,Rename Method	package mockApplicationHistoryManager(numApps int, numAppAttempts int, numContainers int) : ApplicationHistoryManager renamed to package mockApplicationHistoryClientService(numApps int, numAppAttempts int, numContainers int) : ApplicationHistoryClientService in class org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.TestAHSWebApp"
"8770f1f03952661f49aea65ae6498be676677812,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/shortcircuit/TestShortCircuitCache.java,TestShortCircuitCache.java,0,24812.448352346422,53,2,0,7,0,1,22,18,3,12,92,68,745,252,0,22682.795352572764,49,2,0,7,0,1,20,17,2,8,83,64,687,140,Extract Method,Extract Method	private checkNumberOfSegmentsAndSlots(expectedSegments int, expectedSlots int, registry ShortCircuitRegistry) : void extracted from public testDataXceiverCleansUpSlotsOnFailure() : void in class org.apache.hadoop.hdfs.shortcircuit.TestShortCircuitCache"
"fe5877a49e9a8c387a5be77edd1eb1448184271e,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,53010.88206172004,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,0,51920.096123006886,70,2,0,5,0,1,29,19,2,36,179,82,1319,69,Extract Method,Extract Method	private verifyLocalFileDeletion(logAggregationService LogAggregationService) : void extracted from public testLocalFileDeletionAfterUpload() : void in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"85d92721a42fdc50cc828dfe28103ecee9831924,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestCapacityScheduler.java,TestCapacityScheduler.java,0,73684.18216972545,108,1,0,18,0,15,71,46,0,33,267,135,2549,1692,0,71611.74576473709,95,1,0,18,0,15,47,32,0,16,201,100,1718,695,Extract Method,Extract Method	private setUpMove(config Configuration) : MockRM extracted from private setUpMove() : MockRM in class org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestCapacityScheduler"
"4363145128f91b2fb1f1c0254ee5e8621a1ac383,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDFSInotifyEventInputStream.java,TestDFSInotifyEventInputStream.java,9,18433.14934978238,17,1,0,2,0,2,7,5,2,50,87,16,482,26,13,14284.92859434237,16,1,0,2,0,2,6,5,1,29,75,15,383,21,Rename Method,Rename Method	private waitForNextEvent(eis DFSInotifyEventInputStream) : Event renamed to private waitForNextEvents(eis DFSInotifyEventInputStream) : EventBatch in class org.apache.hadoop.hdfs.TestDFSInotifyEventInputStream"
"6dd6ca442aba8612c3780399a42bb473e4483021,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/logaggregation/TestAggregatedLogsBlock.java,TestAggregatedLogsBlock.java,20,7211.031813435614,16,1,0,0,0,0,9,4,0,1,37,15,210,36,21,5509.615538622235,16,1,0,0,0,0,9,4,0,1,37,15,210,36,Extract Method,Extract Method	private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String, nodeName String) : AggregatedLogsBlockForTest extracted from private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String) : AggregatedLogsBlockForTest in class org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock"
"ea64a9b2776119faf1258d0661e052929b2d64d6,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/logaggregation/TestAggregatedLogsBlock.java,TestAggregatedLogsBlock.java,20,7211.031813435614,16,1,0,0,0,0,9,4,0,1,37,15,210,36,21,5509.615538622235,16,1,0,0,0,0,9,4,0,1,37,15,210,36,Extract Method,Extract Method	private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String, nodeName String) : AggregatedLogsBlockForTest extracted from private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String) : AggregatedLogsBlockForTest in class org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock"
"850d6a3fd32364e520de8e7b1f929b27ea3f3705,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/test/java/org/apache/hadoop/mapred/TestLineRecordReader.java,TestLineRecordReader.java,13,8466.11936831483,14,1,0,2,0,2,16,13,0,1,41,39,320,120,17,6215.349198304302,11,1,0,0,0,0,11,10,0,0,31,28,251,55,Extract Method,Extract Method	private testSplitRecordsForFile(conf Configuration, firstSplitLength long, testFileSize long, testFilePath Path) : void extracted from private testSplitRecords(testFileName String, firstSplitLength long) : void in class org.apache.hadoop.mapred.TestLineRecordReader"
"1080c3730068177ddd10dc313890ac1f5dc58f1a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/logaggregation/TestAggregatedLogsBlock.java,TestAggregatedLogsBlock.java,20,7211.031813435614,16,1,0,0,0,0,9,4,0,1,37,15,210,36,21,5509.615538622235,16,1,0,0,0,0,9,4,0,1,37,15,210,36,Extract Method,Extract Method	private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String, nodeName String) : AggregatedLogsBlockForTest extracted from private getAggregatedLogsBlockForTest(configuration Configuration, user String, containerId String) : AggregatedLogsBlockForTest in class org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock"
"ffd820c27a4f8cf4676ad8758696ed89fde80218,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/TestContainerManager.java,TestContainerManager.java,0,33108.93784371584,51,2,0,0,0,0,18,15,2,26,115,66,809,210,0,26937.704194225993,50,2,0,0,0,0,18,15,2,26,115,66,808,210,Extract Method,Extract Method	public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, resource Resource, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token extracted from public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token in class org.apache.hadoop.yarn.server.nodemanager.containermanager.TestContainerManager"
"afe4afd0c9e2b3618bc62194bc34d08b339b6dad,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/TestContainerManager.java,TestContainerManager.java,0,33108.93784371584,51,2,0,0,0,0,18,15,2,26,115,66,809,210,0,26937.704194225993,50,2,0,0,0,0,18,15,2,26,115,66,808,210,Extract Method,Extract Method	public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, resource Resource, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token extracted from public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token in class org.apache.hadoop.yarn.server.nodemanager.containermanager.TestContainerManager"
"d6fa34e014b0e2a61b24f05dd08ebe12354267fd,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/TestGSet.java,TestGSet.java,0,15259.323703774511,10,1,0,14,0,2,40,20,8,34,45,95,476,600,0,13779.111713118427,10,1,0,14,0,2,40,20,8,34,45,95,476,600,Extract Method,Extract Method	private testExceptionCases(resizable boolean) : void extracted from public testExceptionCases() : void in class org.apache.hadoop.util.TestGSet"
"9c47ab32b14fa9e589d54ad739b3721bb8d444f9,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/TestGSet.java,TestGSet.java,0,15259.323703774511,10,1,0,14,0,2,40,20,8,34,45,95,476,600,0,13779.111713118427,10,1,0,14,0,2,40,20,8,34,45,95,476,600,Extract Method,Extract Method	private testExceptionCases(resizable boolean) : void extracted from public testExceptionCases() : void in class org.apache.hadoop.util.TestGSet"
"8fd55202468b28422b0df888641c9b08906fe4a7,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/TestContainerManager.java,TestContainerManager.java,0,36663.50638482081,51,2,0,0,0,0,18,15,2,26,115,66,809,210,0,26937.704194225993,50,2,0,0,0,0,18,15,2,26,115,66,808,210,Extract Method,Extract Method	public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, resource Resource, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token extracted from public createContainerToken(cId ContainerId, rmIdentifier long, nodeId NodeId, user String, containerTokenSecretManager NMContainerTokenSecretManager, logAggregationContext LogAggregationContext) : Token in class org.apache.hadoop.yarn.server.nodemanager.containermanager.TestContainerManager"
"6c17d315287020368689fa078a40a1eaedf89d5b,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/TestGSet.java,TestGSet.java,0,15259.323703774511,10,1,0,14,0,2,40,20,8,34,45,95,476,600,0,13779.111713118427,10,1,0,14,0,2,40,20,8,34,45,95,476,600,Extract Method,Extract Method	private testExceptionCases(resizable boolean) : void extracted from public testExceptionCases() : void in class org.apache.hadoop.util.TestGSet"
"fa64e68fd5dc35961711d8f8c2275b96402b01f1,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockPoolSliceStorage.java,TestBlockPoolSliceStorage.java,28,3281.7339278526492,7,2,0,3,1,1,8,3,0,1,23,10,127,10,29,2614.0242900701196,7,2,0,3,1,1,8,3,0,1,23,10,127,10,Extract Method,Extract Method	private makeRandomIpv4Address() : String extracted from private makeRandomIpAddress() : String in class org.apache.hadoop.hdfs.server.datanode.TestBlockPoolSliceStorage"
"ce60b4fc8b72afaf475517df3638900abb8843ae,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/TestNodeStatusUpdater.java,TestNodeStatusUpdater.java,0,58015.50675006158,100,10,0,52,14,7,77,52,3,52,152,203,1528,2084,0,57583.519594720296,104,11,0,54,15,7,82,57,3,54,157,223,1648,2332,Extract Method,Extract Method	private createNMConfig(port int) : YarnConfiguration extracted from private createNMConfig() : YarnConfiguration in class org.apache.hadoop.yarn.server.nodemanager.TestNodeStatusUpdater"
"e85ebf08259265e8e32ba87331ee6fea038878bb,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/TestNodeStatusUpdater.java,TestNodeStatusUpdater.java,0,58015.50675006158,100,10,0,52,14,7,77,52,3,52,152,203,1528,2084,0,57583.519594720296,104,11,0,54,15,7,82,57,3,54,157,223,1648,2332,Extract Method,Extract Method	private createNMConfig(port int) : YarnConfiguration extracted from private createNMConfig() : YarnConfiguration in class org.apache.hadoop.yarn.server.nodemanager.TestNodeStatusUpdater"
"3cc73773eb26f7469c99b25a76814d6fad0be28e,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/TestSchedulerApplicationAttempt.java,TestSchedulerApplicationAttempt.java,25,6880.81416915688,26,1,0,2,0,1,8,2,0,1,46,8,144,22,26,5003.295718555609,26,1,0,2,0,1,8,2,0,1,46,8,144,22,Extract Method,Extract Method	private createQueue(name String, parent Queue, capacity float) : Queue extracted from private createQueue(name String, parent Queue) : Queue in class org.apache.hadoop.yarn.server.resourcemanager.scheduler.TestSchedulerApplicationAttempt"
"baa2998e93b3c687310a530c578d78d441704031,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/TestSchedulerApplicationAttempt.java,TestSchedulerApplicationAttempt.java,25,6880.81416915688,26,1,0,2,0,1,8,2,0,1,46,8,144,22,26,5003.295718555609,26,1,0,2,0,1,8,2,0,1,46,8,144,22,Extract Method,Extract Method	private createQueue(name String, parent Queue, capacity float) : Queue extracted from private createQueue(name String, parent Queue) : Queue in class org.apache.hadoop.yarn.server.resourcemanager.scheduler.TestSchedulerApplicationAttempt"
"bf8e45298218f70e38838152f69c7705d8606bd6,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ha/TestHealthMonitor.java,TestHealthMonitor.java,28,2511.6805470384234,11,1,0,5,0,1,5,4,0,2,17,13,131,0,28,2458.4935476561004,11,1,0,5,0,1,5,4,0,2,17,13,131,0,Extract Method,Extract Method	protected createDummyHAService() : DummyHAService extracted from public setupHM() : void in class org.apache.hadoop.ha.TestHealthMonitor"
"af0f2e27d189ceefa71fbb5178cc69006a62a257,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ha/TestHealthMonitor.java,TestHealthMonitor.java,28,2511.6805470384234,11,1,0,5,0,1,5,4,0,2,17,13,131,0,28,2458.4935476561004,11,1,0,5,0,1,5,4,0,2,17,13,131,0,Extract Method,Extract Method	protected createDummyHAService() : DummyHAService extracted from public setupHM() : void in class org.apache.hadoop.ha.TestHealthMonitor"
"a47c4e78198f6a550be1f4768afb21e6ed3834fb,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/ha/TestBootstrapStandby.java,TestBootstrapStandby.java,22,6540.273081973809,13,1,0,3,0,1,8,7,0,0,47,12,187,0,19,5043.791033507846,14,1,0,3,0,1,9,8,0,0,52,19,247,0,Extract Method,Extract Method	private updatePrimaryNNAndGetTimeout() : int extracted from public testRateThrottling() : void in class org.apache.hadoop.hdfs.server.namenode.ha.TestBootstrapStandby"
"2ad1386b2b3d4602c787bd2cce455bec5f8ca666,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/monitor/capacity/TestProportionalCapacityPreemptionPolicy.java,TestProportionalCapacityPreemptionPolicy.java,0,46799.59865892623,63,2,0,26,1,1,51,31,2,6,126,96,1193,556,0,41470.90104903781,55,2,0,26,1,1,43,30,1,2,103,78,1059,242,Extract Method,Extract Method	private setResourceAndNodeDetails() : void extracted from package buildPolicy(qData int[][]) : ProportionalCapacityPreemptionPolicy in class org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.TestProportionalCapacityPreemptionPolicy"
"da1016365aba1cee9c06771ab142d077379f27af,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/TestRLESparseResourceAllocation.java,TestRLESparseResourceAllocation.java,15,18296.70164141827,11,1,0,1,0,1,6,5,0,0,23,33,216,3,17,7623.0,11,1,0,1,0,1,6,5,0,0,23,33,216,3,Rename Method,Rename Method	public testZeroAlloaction() : void renamed to public testZeroAllocation() : void in class org.apache.hadoop.yarn.server.resourcemanager.reservation.TestRLESparseResourceAllocation"
"cbbdbe3cdd0f1d1d04e8d9d9665c854117aff95f,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/reservation/TestRLESparseResourceAllocation.java,TestRLESparseResourceAllocation.java,15,18296.70164141827,11,1,0,1,0,1,6,5,0,0,23,33,216,3,17,7623.0,11,1,0,1,0,1,6,5,0,0,23,33,216,3,Rename Method,Rename Method	public testZeroAlloaction() : void renamed to public testZeroAllocation() : void in class org.apache.hadoop.yarn.server.resourcemanager.reservation.TestRLESparseResourceAllocation"
"e307078e78058ed8afb756b413539f07faf0d475,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/test/java/org/apache/hadoop/mapred/TestLineRecordReader.java,TestLineRecordReader.java,13,7025.694650900157,14,1,0,2,0,2,16,13,0,1,41,39,320,120,21,4841.615578980315,9,1,0,0,0,0,9,8,0,0,27,24,201,36,Extract Method,Extract Method	private testSplitRecordsForFile(conf Configuration, firstSplitLength long, testFileSize long, testFilePath Path) : void extracted from private testSplitRecords(testFileName String, firstSplitLength long) : void in class org.apache.hadoop.mapred.TestLineRecordReader"
